MAE,RMSE,correlation,bias
0.5587366084704575,1.1365324851727994,0.9571372516587278,-0.14084324970619994
0.5433589279161967,0.969855425096962,0.9561334954234757,-0.06973417749543097
0.4928622429862458,0.8036804125397276,0.9664394098141873,-0.08144976887900028
0.5365388420408777,1.0999727692252637,0.9522711215348985,0.02353505939281064
0.5021802249595944,0.8370810497379315,0.965712367594193,-0.01600442754976983
0.5019650487486135,0.9456206985649085,0.9485720006761109,-0.07023353056997338
0.5637079271507867,1.1288715550846635,0.939984075463741,0.06207162248439223
0.49451869587683467,0.8872604353232029,0.9575404496714657,-0.04845742833663968
0.5075849507827745,0.8501573977432797,0.9600767447400547,-0.053595206033931364
0.5418202340241013,0.9445255452498635,0.9541882918977717,-0.009877959231672307
